"NetHack 3.7.0 (f58b7a8,2025/07/17)",namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,cockatrice,S_COCKATRICE,5,6,6,30,0,G_GENO|5,"ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_TUCH,AD_STON,0,0)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_POISON|MR_STONE,MR_POISON|MR_STONE,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,PETRIFY=100|-,-,8,8,129,MR_POISON=33|MR_STONE=83
,,,pyrolisk,S_COCKATRICE,6,6,6,30,0,G_GENO|1,"ATTK(AT_GAZE,AD_FIRE,2,6)","ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_FIRE|MR_POISON,MR_FIRE|MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,8,8,52,MR_FIRE=40|MR_POISON=40
,,,jackal,S_DOG,0,12,7,0,0,G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,1,1,1,
,,,fox,S_DOG,0,15,7,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,1,1,4,
,,,coyote,S_DOG,1,12,7,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,2,2,2,
,,,werejackal,S_DOG,2,12,7,10,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,MR_POISON,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE|M2_HOSTILE,M3_INFRAVISIBLE,3,-,LYCANTROPY=100|POISON=100|-,-,4,4,7,
,,,little dog,S_DOG,2,18,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,3,3,8,
,,,dingo,S_DOG,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,5,5,20,
,,,dog,S_DOG,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,5,5,20,
,,,large dog,S_DOG,6,15,4,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_STRONG,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,7,7,40,
,,,wolf,S_DOG,5,12,4,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,7,-,-,-,6,6,26,
,,,werewolf,S_DOG,5,12,4,20,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,MR_POISON,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE|M2_HOSTILE,M3_INFRAVISIBLE,7,-,LYCANTROPY=100|POISON=100|-,-,7,7,31,
,,,winter wolf cub,S_DOG,5,12,4,0,0,G_GENO|G_SGROUP|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,8)","ATTK(AT_BREA,AD_COLD,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,200,MS_BARK,MZ_SMALL,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,6,-,-,-,7,7,39,MR_COLD=33
,,,warg,S_DOG,7,12,4,0,-5,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,0,-,-,-,8,8,50,
,,,winter wolf,S_DOG,7,12,4,20,-5,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_BREA,AD_COLD,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,700,300,MS_BARK,MZ_LARGE,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,6,-,-,-,9,9,67,MR_COLD=47
,,,hell hound pup,S_DOG,7,12,4,20,0,G_GENO|G_SGROUP|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_BREA,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_BARK,MZ_SMALL,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,9,9,67,MR_FIRE=47
,,,hell hound,S_DOG,12,14,2,20,-5,G_GENO|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BREA,AD_FIRE,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_BARK,MZ_MEDIUM,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,1,-,-,-,14,14,230,MR_FIRE=80
,,,gas spore,S_EYE,1,3,10,0,0,G_NOCORPSE|G_GENO|1,"ATTK(AT_BOOM,AD_PHYS,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_FLY|M1_BREATHLESS|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,7,-,-,-,2,2,6,
,,,floating eye,S_EYE,2,1,9,10,0,G_GENO|5,"ATTK(AT_NONE,AD_PLYS,0,70)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_FLY|M1_AMPHIBIOUS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,4,-,-,-,3,3,7,Telepathy=100
,,,freezing sphere,S_EYE,6,13,4,0,0,G_NOCORPSE|G_GENO|G_NOHELL|2,"ATTK(AT_EXPL,AD_COLD,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_COLD,MR_COLD,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,15,-,-,-,9,8,61,MR_COLD=40
,,,flaming sphere,S_EYE,6,13,4,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_EXPL,AD_FIRE,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_FIRE,MR_FIRE,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,9,8,61,MR_FIRE=40
,,,shocking sphere,S_EYE,6,13,4,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_EXPL,AD_ELEC,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_ELEC,MR_ELEC,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,12,-,-,-,10,8,61,MR_ELEC=40
,,,kitten,S_FELINE,2,18,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_MEW,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_WANDER,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,3,3,8,
,,,housecat,S_FELINE,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_MEW,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,5,5,20,
,,,jaguar,S_FELINE,4,15,6,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_BITE,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,-,-,6,6,20,
,,,lynx,S_FELINE,5,15,6,0,0,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_BITE,AD_PHYS,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION|M3_INFRAVISIBLE,6,-,-,-,7,7,29,
,,,panther,S_FELINE,5,15,6,0,0,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,1,6)","ATTK(AT_CLAW,AD_PHYS,1,6)","ATTK(AT_BITE,AD_PHYS,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION|M3_INFRAVISIBLE,0,-,-,-,7,7,29,
,,,large cat,S_FELINE,6,15,4,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,250,MS_MEW,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,7,7,40,
,,,tiger,S_FELINE,6,12,6,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,2,4)","ATTK(AT_CLAW,AD_PHYS,2,4)","ATTK(AT_BITE,AD_PHYS,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION|M3_INFRAVISIBLE,11,-,-,-,8,8,37,
,,,displacer beast,S_FELINE,12,12,-10,0,-3,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,4,4)","ATTK(AT_CLAW,AD_PHYS,4,4)","ATTK(AT_BITE,AD_PHYS,2,10)",NO_ATTK,NO_ATTK,NO_ATTK,750,400,MS_GROWL,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_NASTY,M3_INFRAVISION|M3_INFRAVISIBLE|M3_DISPLACES,4,DISPLACEMENT=100|-,-,-,14,14,313,
,,,gremlin,S_GREMLIN,5,12,2,25,-9,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,1,6)","ATTK(AT_CLAW,AD_PHYS,1,6)","ATTK(AT_BITE,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_CURS,0,0)",NO_ATTK,NO_ATTK,100,20,MS_LAUGH,MZ_SMALL,MR_POISON,MR_POISON,M1_SWIM|M1_HUMANOID|M1_POIS,M2_STALK,M3_INFRAVISIBLE,2,-,POISON=100|-,-,8,8,36,MR_POISON=33
,,,gargoyle,S_GREMLIN,6,10,-4,0,-9,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,2,6)","ATTK(AT_CLAW,AD_PHYS,2,6)","ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_GRUNT,MZ_MEDIUM,MR_STONE,MR_STONE,M1_BREATHLESS|M1_HUMANOID|M1_THICK_HIDE,M2_HOSTILE|M2_STRONG,,3,-,-,-,8,8,59,MR_STONE=100
,,,winged gargoyle,S_GREMLIN,9,15,-2,0,-12,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,3,6)","ATTK(AT_CLAW,AD_PHYS,3,6)","ATTK(AT_BITE,AD_PHYS,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,1200,300,MS_GRUNT,MZ_MEDIUM,MR_STONE,MR_STONE,M1_FLY|M1_BREATHLESS|M1_HUMANOID|M1_THICK_HIDE|M1_OVIPAROUS,M2_LORD|M2_HOSTILE|M2_STRONG|M2_MAGIC,,5,-,-,-,11,11,153,MR_STONE=100
,,,hobbit,S_HUMANOID,1,9,10,0,6,G_GENO|2,"ATTK(AT_WEAP,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,200,MS_HUMANOID,MZ_SMALL,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,2,-,-,-,2,2,7,
,,,dwarf,S_HUMANOID,2,6,10,10,4,G_GENO|3,"ATTK(AT_WEAP,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,300,MS_HUMANOID,MZ_MEDIUM,,,M1_TUNNEL|M1_NEEDPICK|M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_DWARF|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,DWARF=100|-,-,4,3,10,
,,,bugbear,S_HUMANOID,3,9,5,0,-6,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1250,250,MS_GROWL,MZ_LARGE,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,-,-,5,4,15,
,dwarf lord,dwarf lady,dwarf leader,S_HUMANOID,4,6,10,10,5,G_GENO|2,"ATTK(AT_WEAP,AD_PHYS,2,4)","ATTK(AT_WEAP,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,300,MS_HUMANOID,MZ_MEDIUM,,,M1_TUNNEL|M1_NEEDPICK|M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_DWARF|M2_LORD|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,4,-,DWARF=100|-,-,6,6,27,
,dwarf king,dwarf queen,dwarf ruler,S_HUMANOID,6,6,10,20,6,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,2,6)","ATTK(AT_WEAP,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,300,MS_HUMANOID,MZ_MEDIUM,,,M1_TUNNEL|M1_NEEDPICK|M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_DWARF|M2_PRINCE|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,5,-,DWARF=100|-,-,8,8,47,
,,,mind flayer,S_HUMANOID,9,12,5,90,-8,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,4)","ATTK(AT_TENT,AD_DRIN,2,1)","ATTK(AT_TENT,AD_DRIN,2,1)","ATTK(AT_TENT,AD_DRIN,2,1)",NO_ATTK,NO_ATTK,1450,400,MS_HISS,MZ_MEDIUM,,,M1_FLY|M1_HUMANOID|M1_SEE_INVIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_NASTY|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,13,GAIN_IN=50|-,-,-,13,12,236,Telepathy=100
,,,master mind flayer,S_HUMANOID,13,12,0,90,-8,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,8)","ATTK(AT_TENT,AD_DRIN,2,1)","ATTK(AT_TENT,AD_DRIN,2,1)","ATTK(AT_TENT,AD_DRIN,2,1)","ATTK(AT_TENT,AD_DRIN,2,1)","ATTK(AT_TENT,AD_DRIN,2,1)",1450,400,MS_HISS,MZ_MEDIUM,,,M1_FLY|M1_HUMANOID|M1_SEE_INVIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_NASTY|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,13,GAIN_IN=50|-,-,-,19,19,403,Telepathy=100
,,,manes,S_IMP,1,3,7,0,-7,G_NOCORPSE|G_GENO|G_LGROUP|1,"ATTK(AT_CLAW,AD_PHYS,1,3)","ATTK(AT_CLAW,AD_PHYS,1,3)","ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_SMALL,MR_SLEEP|MR_POISON,,M1_POIS,M2_HOSTILE|M2_STALK,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,POISON=100|-,-,3,3,2,
,,,homunculus,S_IMP,2,12,6,10,-7,G_GENO|2,"ATTK(AT_BITE,AD_SLEE,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,60,100,MS_SILENT,MZ_TINY,MR_SLEEP|MR_POISON,MR_SLEEP|MR_POISON,M1_FLY|M1_POIS,M2_STALK,M3_INFRAVISION|M3_INFRAVISIBLE,2,-,POISON=100|-,-,3,3,9,MR_SLEEP=13|MR_POISON=13
,,,imp,S_IMP,3,12,2,20,-7,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,10,MS_CUSS,MZ_TINY,,,M1_REGEN,M2_WANDER|M2_STALK,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,-,-,4,4,15,
,,,lemure,S_IMP,3,3,7,0,-7,G_NOCORPSE|G_GENO|G_LGROUP|G_HELL|1,"ATTK(AT_CLAW,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,100,MS_SILENT,MZ_MEDIUM,MR_SLEEP|MR_POISON,MR_SLEEP,M1_REGEN|M1_POIS,M2_NEUTER|M2_HOSTILE|M2_WANDER|M2_STALK,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,POISON=100|-,-,5,5,10,MR_SLEEP=20
