index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob,Flags 4,MH
,,,acid blob,S_BLOB,1,3,8,0,0,G_GENO|2,"ATTK(AT_NONE,AD_LAVA,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_SLEEP|MR_POISON|MR_ACID|MR_STONE,MR_STONE,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID,M2_NEUTER|M2_WANDER,,2,UNSTONE=100|-,ACID=100|-,-,2,2,4,MR_STONE=+5,M4_VULNERABLE_FIRE,,
,,,quivering blob,S_BLOB,5,1,8,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_SMALL,MR_SLEEP|MR_POISON,MR_POISON,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,15,-,-,-,6,6,29,MR_POISON=+5,M4_VULNERABLE_FIRE,,
,,,gelatinous cube,S_BLOB,6,8,8,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_DRLI,2,4)","ATTK(AT_ENGL,AD_WRAP,1,4)","ATTK(AT_NONE,AD_DRLI,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,600,150,MS_SILENT,MZ_LARGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE|M2_WANDER|M2_NASTY,,6,UNSTONE=100|-,ACID=100|-,-,10,8,103,MR_FIRE=+6|MR_COLD=+6|MR_SLEEP=+6|MR_ELEC=+6,,,
,,,chickatrice,S_COCKATRICE,4,4,8,30,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,2)","ATTK(AT_TUCH,AD_STON,0,0)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_HISS,MZ_SMALL,MR_POISON|MR_STONE,MR_POISON|MR_STONE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,PETRIFY=100|-,-,7,7,120,MR_POISON=+5|MR_STONE=+5,,,
,,,cockatrice,S_COCKATRICE,5,6,6,30,0,G_GENO|5,"ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_TUCH,AD_STON,0,0)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_POISON|MR_STONE,MR_POISON|MR_STONE,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,PETRIFY=100|-,-,8,8,129,MR_POISON=+5|MR_STONE=+5,,,
,,,pyrolisk,S_COCKATRICE,6,6,6,30,0,G_GENO|1,"ATTK(AT_GAZE,AD_FIRE,2,6)","ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_FIRE|MR_POISON,MR_FIRE|MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,8,8,52,MR_FIRE=+5|MR_POISON=+5,M4_VULNERABLE_COLD,,
,,,basilisk,S_COCKATRICE,12,12,-10,70,-5,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_TUCH,AD_STON,1,6)","ATTK(AT_TUCH,AD_STON,1,6)","ATTK(AT_CLAW,AD_PHYS,2,8)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,90,50,MS_HISS,MZ_MEDIUM,MR_SLEEP|MR_POISON|MR_STONE,MR_POISON|MR_STONE,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_CARNIVORE|M1_HERBIVORE,M2_MERC|M2_HOSTILE|M2_NASTY|M2_STRONG,M3_INFRAVISIBLE|M3_ACCURATE,10,-,PETRIFY=100|-,-,16,18,469,MR_POISON=+5|MR_STONE=+5,,,
,,,jackal,S_DOG,0,12,7,0,0,G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,1,1,1,,,,
,,,fox,S_DOG,0,15,7,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,1,1,4,,,,
,,,coyote,S_DOG,1,12,7,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,2,2,2,,,,
,,,werejackal,S_DOG,2,12,7,10,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,MR_POISON,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_HOSTILE,M3_INFRAVISIBLE,3,-,LYCANTROPY=100|POISON=100|-,-,4,4,7,,,MH_WERE,
,,,little dog,S_DOG,2,18,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,3,3,8,,,,
,,,rabid dog,S_DOG,3,16,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRCO,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,150,MS_BARK,MZ_SMALL,MR_POISON,,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE|M2_WANDER,M3_INFRAVISIBLE,7,-,POISON=100|-,-,4,5,16,,,,
,,,dingo,S_DOG,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,5,5,20,,,,
,,,dog,S_DOG,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,5,5,20,,,,
,,,large dog,S_DOG,6,15,4,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_STRONG,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,7,7,40,,,,
,,,wolf,S_DOG,5,12,4,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DRUID_FORM_A|M2_HOSTILE,M3_INFRAVISIBLE,7,-,-,-,6,6,26,,,,
,,,werewolf,S_DOG,5,12,4,20,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,MR_POISON,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_HOSTILE,M3_INFRAVISIBLE,7,-,LYCANTROPY=100|POISON=100|-,-,7,7,31,,,MH_WERE,
,,,winter wolf cub,S_DOG,5,12,4,0,0,G_GENO|G_SGROUP|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,8)","ATTK(AT_BREA,AD_COLD,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,200,MS_BARK,MZ_SMALL,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,6,-,-,-,7,7,39,MR_COLD=+5,M4_VULNERABLE_FIRE,,
,,,warg,S_DOG,7,12,4,0,-5,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,0,-,-,-,8,8,50,,,,
,,,winter wolf,S_DOG,7,12,4,20,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_BREA,AD_COLD,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,700,300,MS_BARK,MZ_LARGE,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DRUID_FORM_B|M2_HOSTILE|M2_STRONG,,6,-,-,-,9,9,67,MR_COLD=+7,M4_VULNERABLE_FIRE,,
,,,hell hound pup,S_DOG,7,12,4,20,-5,G_GENO|G_SGROUP|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_BREA,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_BARK,MZ_SMALL,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,9,9,67,MR_FIRE=+5,M4_VULNERABLE_COLD,,
,,,hell hound,S_DOG,12,14,2,20,-5,G_GENO|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BREA,AD_FIRE,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_BARK,MZ_LARGE,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,1,-,-,-,14,14,230,MR_FIRE=+6,M4_VULNERABLE_COLD,,
,,,weredemon,S_DOG,15,16,0,40,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,4,6)","ATTK(AT_BREA,AD_FIRE,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_BARK,MZ_LARGE,MR_FIRE|MR_POISON,MR_FIRE,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,1,-,POISON=100|-,-,16,19,364,MR_FIRE=+6,M4_VULNERABLE_COLD,MH_WERE,
,,,Bourbon,S_DOG,20,20,2,40,0,G_NOGEN|G_UNIQ|0,"ATTK(AT_BITE,AD_PHYS,4,6)","ATTK(AT_CLAW,AD_PHYS,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_STONE,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_NOPOLY|M2_FEMALE|M2_PNAME|M2_HOSTILE|M2_NASTY|M2_STRONG,M3_CLOSE|M3_INFRAVISION|M3_BERSERK,3,-,-,-,22,22,621,MR_COLD=+5,,,
,,,Ozzy,S_DOG,22,14,0,40,0,G_NOGEN|G_UNIQ|0,"ATTK(AT_BITE,AD_PHYS,6,8)","ATTK(AT_CLAW,AD_PHYS,4,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,400,MS_BARK,MZ_LARGE,MR_COLD|MR_SLEEP|MR_STONE,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_NOPOLY|M2_MALE|M2_PNAME|M2_HOSTILE|M2_NASTY|M2_STRONG,M3_CLOSE|M3_INFRAVISION|M3_BERSERK,3,-,-,-,24,24,721,MR_COLD=+9,,,
,,,Cerberus,S_DOG,27,20,-7,90,-7,G_NOGEN|G_HELL|G_UNIQ|0,"ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BREA,AD_FIRE,3,6)",NO_ATTK,NO_ATTK,1200,500,MS_BARK,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_SEE_INVIS|M1_TPORT_CNTRL|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_MALE|M2_PNAME|M2_HOSTILE|M2_STRONG,M3_WAITFORU|M3_INFRAVISIBLE|M3_DISPLACES|M3_ACCURATE|M3_BERSERK,0,-,POISON=100|-,-,30,31,870,MR_FIRE=+13|M1_TPORT_CNTRL=!10,M4_VULNERABLE_COLD,,
,,,gas spore,S_EYE,1,3,10,0,0,G_NOCORPSE|G_GENO|1,"ATTK(AT_BOOM,AD_PHYS,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_FLY|M1_BREATHLESS|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,7,-,-,-,2,2,6,,,,
,,,floating eye,S_EYE,2,1,9,10,0,G_GENO|5,"ATTK(AT_NONE,AD_DRLI,0,70)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_FLY|M1_AMPHIBIOUS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_REGEN,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,4,-,-,-,3,3,7,Telepathy=!100,,,
,,,freezing sphere,S_EYE,6,13,4,0,0,G_NOCORPSE|G_NOHELL|2,"ATTK(AT_EXPL,AD_COLD,4,6)","ATTK(AT_BOOM,AD_COLD,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_COLD,MR_COLD,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,15,-,-,-,8,9,82,MR_COLD=+5,M4_VULNERABLE_FIRE,,
,,,flaming sphere,S_EYE,6,13,4,0,0,G_NOCORPSE|2,"ATTK(AT_EXPL,AD_FIRE,4,6)","ATTK(AT_BOOM,AD_FIRE,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_FIRE,MR_FIRE,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,9,9,82,MR_FIRE=+5,M4_VULNERABLE_COLD,,
,,,shocking sphere,S_EYE,6,13,4,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_EXPL,AD_ELEC,4,6)","ATTK(AT_BOOM,AD_ELEC,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_ELEC,MR_ELEC,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,12,-,-,-,9,9,82,MR_ELEC=+5,,,
,,,acid sphere,S_EYE,7,13,4,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_EXPL,AD_LAVA,5,6)","ATTK(AT_BOOM,AD_LAVA,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_ACID,MR_ACID,M1_FLY|M1_BREATHLESS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,11,10,101,MR_ACID=+5,,,
,,,magical eye,S_EYE,8,6,0,90,-10,2,"ATTK(AT_GAZE,AD_PLYS,0,0)","ATTK(AT_GAZE,AD_SLEE,2,6)","ATTK(AT_GAZE,AD_SPC2,2,6)","ATTK(AT_GAZE,AD_FIRE,4,6)","ATTK(AT_GAZE,AD_COLD,2,4)","ATTK(AT_GAZE,AD_LUCK,0,0)",10,10,MS_SILENT,MZ_SMALL,MR_FIRE|MR_COLD|MR_ELEC,,M1_FLY|M1_BREATHLESS|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD,M2_NOPOLY|M2_NEUTER|M2_HOSTILE|M2_NASTY,M3_INFRAVISION|M3_INFRAVISIBLE|M3_SKITTISH,5,LUCK=100|-,HALLU=100|-,-,12,15,234,,,,
,,,beholder,S_EYE,8,6,-8,50,-10,G_GENO|G_TALG|1,"ATTK(AT_GAZE,AD_PLYS,0,0)","ATTK(AT_GAZE,AD_SLEE,2,25)","ATTK(AT_GAZE,AD_DISN,8,8)","ATTK(AT_GAZE,AD_STON,0,0)","ATTK(AT_GAZE,AD_CNCL,4,4)","ATTK(AT_BITE,AD_PHYS,8,8)",800,200,MS_SILENT,MZ_LARGE,MR_COLD|MR_ELEC|MR_POISON|MR_STONE,MR_POISON,M1_FLY|M1_BREATHLESS|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD,M2_NOPOLY|M2_NEUTER|M2_HOSTILE|M2_NASTY|M2_GREEDY|M2_JEWELS|M2_MAGIC,M3_INFRAVISION|M3_INFRAVISIBLE|M3_SKITTISH,3,-,-,-,14,17,288,MR_POISON=+8,,,
,,,Tal'Gath,S_EYE,46,12,-10,70,-18,G_NOGEN|G_UNIQ|0,"ATTK(AT_GAZE,AD_PLYS,0,0)","ATTK(AT_GAZE,AD_DISN,8,8)","ATTK(AT_GAZE,AD_STON,0,0)","ATTK(AT_GAZE,AD_CNCL,6,6)","ATTK(AT_MAGC,AD_MAGM,16,4)","ATTK(AT_BITE,AD_PHYS,10,10)",4500,1500,MS_CUSS,MZ_HUGE,MR_COLD|MR_DISINT|MR_ELEC|MR_POISON|MR_STONE,MR_DISINT|MR_POISON,M1_FLY|M1_BREATHLESS|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_SEE_INVIS,M2_NOPOLY|M2_LORD|M2_NEUTER|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_MAGIC,M3_WAITFORU|M3_INFRAVISION|M3_INFRAVISIBLE|M3_SKITTISH,13,-,-,-,50,56,3055,MR_DISINT=+50|MR_POISON=+50,,,
,,,kitten,S_FELINE,2,18,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_MEW,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_WANDER,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,3,3,8,,,,
,,,housecat,S_FELINE,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_MEW,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,5,5,20,,,,
,,,jaguar,S_FELINE,4,15,6,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_BITE,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,-,-,6,6,20,,,,
,,,lynx,S_FELINE,5,15,6,0,0,G_GENO|1,"ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_BITE,AD_PHYS,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISION|M3_INFRAVISIBLE,6,-,-,-,7,7,29,,,,
