index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,migo drone,S_ANT,7,12,0,10,-5,G_GENO|G_LGROUP|2,"ATTK(AT_STNG,AD_DRST,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,50,MS_BUZZ,MZ_MEDIUM,MR_POISON,MR_POISON,M1_FLY|M1_SEE_INVIS|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE|M2_WANDER|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT|M2_MAGIC,M3_INFRAVISION|M3_TRAITOR,2,-,POISON=100|-,-,10,10,74,MR_POISON=47
,,,queen bee,S_ANT,9,24,-4,0,0,G_GENO|G_NOGEN|G_NOHELL|0,"ATTK(AT_STNG,AD_DRST,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS,M2_PRINCE|M2_FEMALE|M2_HOSTILE,,5,-,POISON=100|-,-,12,12,180,MR_POISON=60
,,,yellow jacket,S_ANT,8,15,2,0,0,G_GENO|G_LGROUP|G_NOHELL|1,"ATTK(AT_STNG,AD_DRST,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_BUZZ,MZ_SMALL,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_FEMALE|M2_HOSTILE,,11,-,POISON=100|-,-,11,11,92,MR_POISON=53
,,,black wasp,S_ANT,9,15,2,0,0,G_GENO|G_LGROUP|G_NOHELL|1,"ATTK(AT_STNG,AD_DRST,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,100,MS_BUZZ,MZ_MEDIUM,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_FEMALE|M2_HOSTILE,,11,-,POISON=100|-,-,12,12,161,MR_POISON=60
,,,migo warrior,S_ANT,10,18,-3,30,-7,G_GENO|G_SGROUP|1,"ATTK(AT_STNG,AD_DRST,1,3)","ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,50,MS_BUZZ,MZ_MEDIUM,MR_POISON,MR_POISON,M1_FLY|M1_SEE_INVIS|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_MALE|M2_HOSTILE|M2_STRONG|M2_COLLECT|M2_MAGIC,M3_INFRAVISION|M3_TRAITOR,11,-,POISON=100|-,-,14,14,197,MR_POISON=67
,,,giant wasp,S_ANT,12,15,2,0,0,G_GENO|G_LGROUP|G_NOHELL|1,"ATTK(AT_STNG,AD_DRST,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,100,MS_BUZZ,MZ_MEDIUM,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_FEMALE|M2_HOSTILE,,0,-,POISON=100|-,-,15,15,230,MR_POISON=80
,,,spitting beetle,S_ANT,14,6,-4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,4,6)","ATTK(AT_SPIT,AD_ACID,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,3,-,POISON=100|-,-,17,17,314,MR_POISON=93
,,,migo queen,S_ANT,15,15,-3,50,-9,G_GENO|G_NOGEN|0,"ATTK(AT_STNG,AD_DRIN,1,3)","ATTK(AT_BITE,AD_PHYS,6,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,100,MS_BUZZ,MZ_LARGE,MR_POISON,MR_POISON,M1_FLY|M1_SEE_INVIS|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_FEMALE|M2_HOSTILE|M2_STRONG|M2_COLLECT|M2_MAGIC,M3_INFRAVISION|M3_NOTAME,5,-,POISON=100|-,-,18,18,332,MR_POISON=100
,,,assassin bug,S_ANT,10,24,4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,M3_TRAITOR,0,-,POISON=100|-,-,12,12,186,MR_POISON=67
,,,killer beetle,S_ANT,19,6,-4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,6,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,9,-,POISON=100|-,-,21,21,453,MR_POISON=100
,,,acid blob,S_BLOB,1,3,8,0,0,G_GENO|G_NOHELL|3,"ATTK(AT_NONE,AD_ACID,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_SLEEP|MR_POISON|MR_ACID|MR_STONE,,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID,M2_NEUTER|M2_WANDER,,2,UNSTONE=100|-,ACID=100|-,-,2,2,4,
,,,quivering blob,S_BLOB,5,1,8,0,0,G_GENO|G_NOHELL|3,"ATTK(AT_TUCH,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_SMALL,MR_SLEEP|MR_POISON,MR_POISON,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,15,-,-,-,6,6,29,MR_POISON=33
,,,gelatinous cube,S_BLOB,6,6,8,0,0,G_GENO|G_NOHELL|3,"ATTK(AT_TUCH,AD_PLYS,2,4)","ATTK(AT_NONE,AD_PLYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,150,MS_SILENT,MZ_LARGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE|M2_WANDER,,6,UNSTONE=100|-,ACID=100|-,-,8,8,52,MR_FIRE=40|MR_COLD=40|MR_SLEEP=40|MR_ELEC=40
,,,jiggling blob,S_BLOB,10,6,8,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_TUCH,AD_PHYS,2,8)","ATTK(AT_NONE,AD_ACID,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_LARGE,MR_SLEEP|MR_POISON,MR_POISON,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,5,-,-,-,11,11,174,MR_POISON=67
,,,lava blob,S_BLOB,10,6,8,0,0,G_GENO|1,"ATTK(AT_TUCH,AD_FIRE,4,4)","ATTK(AT_NONE,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_LARGE,MR_FIRE|MR_SLEEP,MR_FIRE,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,1,-,-,-,12,12,194,MR_FIRE=67
,,,static blob,S_BLOB,12,6,8,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_TUCH,AD_ELEC,3,8)","ATTK(AT_NONE,AD_ELEC,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_LARGE,MR_SLEEP|MR_ELEC|MR_POISON,MR_ELEC|MR_POISON,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,12,-,-,-,14,14,258,MR_ELEC=80|MR_POISON=80
,,,burbling blob,S_BLOB,14,6,8,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_TUCH,AD_PHYS,2,8)","ATTK(AT_NONE,AD_ACID,5,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_LARGE,MR_SLEEP|MR_POISON,MR_POISON,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,0,-,-,-,15,15,278,MR_POISON=93
,,,chicken,S_COCKATRICE,2,15,8,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,50,MS_CHICKEN,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER,M3_INFRAVISIBLE,3,-,-,-,3,3,8,
,,,cockatoo,S_COCKATRICE,3,15,6,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,75,30,MS_PARROT,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER,M3_INFRAVISIBLE,15,-,-,-,4,4,13,
,,,chickatrice,S_COCKATRICE,4,4,8,30,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,2)","ATTK(AT_TUCH,AD_STON,0,0)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_HISS,MZ_TINY,MR_POISON|MR_STONE,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,PETRIFY=100|-,-,7,7,120,MR_POISON=27
,,,cockatrice,S_COCKATRICE,5,6,6,30,0,G_GENO|6,"ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_TUCH,AD_STON,0,0)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_POISON|MR_STONE|MR_HITASTWO,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,PETRIFY=100|-,-,8,8,129,MR_POISON=33
,,,pyrolisk,S_COCKATRICE,6,6,6,30,0,G_GENO|1,"ATTK(AT_GAZE,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_HISS,MZ_SMALL,MR_FIRE|MR_POISON,MR_FIRE|MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,8,8,52,MR_FIRE=40|MR_POISON=40
,,,parrot,S_COCKATRICE,7,15,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,75,30,MS_PARROT,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER,M3_INFRAVISIBLE,2,-,-,-,8,8,53,
,,,jackal,S_DOG,0,12,7,0,0,G_GENO|G_SGROUP|G_NOHELL|4,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,1,1,1,
,,,fox,S_DOG,0,15,7,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,1,1,4,
,,,coyote,S_DOG,1,12,7,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,2,2,2,
,,,werejackal,S_DOG,2,12,7,10,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,MR_POISON|MR_HITASONE,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE|M2_HOSTILE,M3_INFRAVISIBLE,3,-,LYCANTROPY=100|POISON=100|-,-,4,4,7,
,,,little dog,S_DOG,2,18,6,0,0,G_GENO|G_NOHELL|7,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,3,3,8,
,,,dog,S_DOG,4,16,5,0,0,G_GENO|G_NOHELL|7,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,5,5,20,
,,,large dog,S_DOG,6,15,4,0,0,G_GENO|G_NOHELL|7,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_STRONG,M3_INFRAVISIBLE,15,-,AGGRAVATE=100|-,-,7,7,40,
,,,pit bull,S_DOG,11,15,4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,4,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_DOMESTIC|M2_STRONG,M3_INFRAVISIBLE,15,-,-,-,12,12,175,
,,,dingo puppy,S_DOG,2,18,6,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,3,3,8,
,,,dingo,S_DOG,4,16,5,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,5,5,20,
,,,large dingo,S_DOG,6,15,4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,11,-,-,-,7,7,40,
,,,wolf,S_DOG,5,12,4,0,0,G_GENO|G_SGROUP|G_NOHELL|3,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,6,6,26,
,,,death dog,S_DOG,2,12,7,0,0,G_GENO|G_SGROUP|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,1,10)","ATTK(AT_BITE,AD_PHYS,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_TRAITOR,0,-,-,-,4,4,5,
,,,rabid wolf,S_DOG,6,12,4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRCO,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_SMALL,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE|M3_TRAITOR,3,-,-,-,8,8,43,
,,,werewolf,S_DOG,5,12,4,20,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,MR_POISON|MR_HITASTWO,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE,M3_INFRAVISIBLE,3,-,LYCANTROPY=100|POISON=100|-,-,7,7,31,
,,,warg,S_DOG,7,12,4,0,-5,G_GENO|G_SGROUP|G_NOHELL|3,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,8,8,50,
,,,winter wolf cub,S_DOG,5,12,4,0,-5,G_GENO|G_SGROUP|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,8)","ATTK(AT_BREA,AD_COLD,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,200,MS_BARK,MZ_SMALL,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,6,-,-,-,7,7,39,MR_COLD=33
,,,winter wolf,S_DOG,7,12,4,20,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BREA,AD_COLD,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,700,300,MS_BARK,MZ_LARGE,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,6,-,-,-,9,9,67,MR_COLD=47
,,,hell hound pup,S_DOG,7,12,4,20,-5,G_GENO|G_SGROUP|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_BREA,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_BARK,MZ_SMALL,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,9,9,67,MR_FIRE=47
,,,wolverine,S_DOG,9,15,4,0,-8,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,4,6)","ATTK(AT_CLAW,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,7,-,-,-,11,11,144,
,,,shadow wolf,S_DOG,11,15,4,0,-8,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_COLD,4,6)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_MEDIUM,MR_PLUSONE|MR_HITASTWO,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_TRAITOR,0,-,-,-,13,13,208,
,,,mist wolf,S_DOG,12,18,4,0,0,G_GENO|G_SGROUP|G_NOHELL|1,"ATTK(AT_BITE,AD_COLD,4,6)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_MEDIUM,MR_PLUSONE|MR_HITASTWO,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,2,-,-,-,15,15,234,
,,,hell hound,S_DOG,12,14,2,20,0,G_GENO|G_HELL|1,"ATTK(AT_BITE,AD_PHYS,3,6)","ATTK(AT_BREA,AD_FIRE,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_BARK,MZ_MEDIUM,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,1,-,-,-,14,14,230,MR_FIRE=80
